Key,Epic Name,Status,Sprint,Size,Quarter,Cluster,Cluster Name,Start Date,Due Date,Milestone,Labels,Description
PROJ-101,Implementar Autenticación OAuth2,In Progress,1,S,Q1 - 26,Security,Authentication & Identity,2026-01-05,2026-01-20,FALSE,security backend auth,"Esta épica contiene las tareas para integrar Google, GitHub y Apple OAuth2 para la federación de identidades."
PROJ-102,Diseñar UI/UX Dashboard,To Do,1,L,Q1 - 26,Frontend,User Experience Redesign,2026-01-10,2026-02-15,FALSE,design frontend ui,"Diseñar la nueva interfaz gráfica de usuario para el panel de administración central, utilizando Figma y principios modernos de diseño."
PROJ-103,Integrar Pasarela de Pagos Stripe,To Do,2,XL,Q1 - 26,Core,Billing Infrastructure,2026-02-01,2026-03-10,FALSE,payments billing stripe,"Configurar la conexión con Stripe API para aceptar tarjetas de crédito, Apple Pay y configurar suscripciones recurrentes."
PROJ-104,Lanzamiento Beta Cerrada,To Do,2,S,Q1 - 26,Core,Billing Infrastructure,2026-03-15,2026-03-15,TRUE,release beta,"Hito de lanzamiento de la Beta Privada para los primeros 100 clientes de pago."
PROJ-105,Optimizar Base de Datos PostgreSQL,Done,,,Q1 - 26,Core,Performance & Scaling,2025-11-01,2025-12-15,FALSE,database performance,"Identificar queries lentas, agregar índices y optimizar la configuración de pg_pooler para manejar cargas concurrentes elevadas."
PROJ-106,Módulo de Reportes PDF Dinámicos,To Do,3,,Q1 - 26,Core,Data Exports,2026-03-01,2026-04-05,FALSE,reports pdf,"Generación de reportes PDF descargables para los clientes con métricas trimestrales de uso de la plataforma."
PROJ-107,Migración a AWS EKS Kubernetes,In Progress,2,XL,Q2 - 26,Infra,Cloud Ops,2026-04-10,2026-05-30,FALSE,devops kubernetes aws,"Migración del cluster autogestionado de Docker Compose a Amazon EKS con autoescalado y despliegues progresivos (Canary)."
PROJ-108,Auditoría de Seguridad SOC2,Blocked,,,Q2 - 26,Security,Compliance & Audits,2026-05-01,2026-06-15,FALSE,compliance soc2,"Auditoría externa para la certificación SOC2. Bloqueada a la espera del reporte preliminar."
PROJ-109,Certificación SOC2 Obtenida,To Do,,,Q2 - 26,Security,Compliance & Audits,2026-06-20,2026-06-20,TRUE,milestone compliance,"Hito que marca la obtención exitosa del certificado de seguridad SOC2 Tipo II."
PROJ-110,Actualización de Librerías Menores,Done,,M,Q1 - 26,,,2026-01-02,2026-01-10,FALSE,tech-debt,"Tarea suelta sin cluster definido, caerá automáticamente en General."

